Code,Momentum_pct,Volatility_pct,Sharpe,PER,PBR,ROE
18930,166.0,31.02,5.35,24.13,2.49,18.16
15150,242.67,45.76,5.3,21.92,1.42,7.01
18710,183.92,35.11,5.24,14.21,2.0,15.51
18010,148.31,34.61,4.28,19.85,3.07,0.0
17200,94.04,22.15,4.25,13.92,1.44,11.71
18850,168.2,41.09,4.09,14.66,2.09,16.4
18120,130.96,32.14,4.07,16.85,2.11,0.0
18140,142.81,35.17,4.06,11.82,1.43,16.19
18150,110.14,27.39,4.02,15.72,0.84,4.0
18030,133.01,33.6,3.96,19.08,2.12,11.96
17190,71.18,21.15,3.36,11.64,1.64,0.0
18080,62.72,21.19,2.96,18.93,1.37,10.51
18330,70.05,24.99,2.8,17.08,1.15,2.93
18610,73.57,26.52,2.77,18.72,1.38,11.47
14170,65.03,25.19,2.58,16.59,1.26,8.82
17210,54.01,21.91,2.46,19.73,1.62,8.92
18020,73.01,30.34,2.41,15.53,2.14,15.32
18520,66.62,28.31,2.35,13.08,1.61,13.02
18700,56.91,29.32,1.94,8.51,1.21,15.32
18350,45.68,23.7,1.93,14.49,1.47,10.74
17620,50.87,26.36,1.93,11.87,0.88,7.57
16620,65.99,34.75,1.9,7.1,1.09,8.41
16050,62.14,32.94,1.89,11.91,0.97,8.46
18600,46.86,28.81,1.63,13.83,1.13,10.93
15180,76.6,46.96,1.63,6.86,1.01,18.36
18130,51.64,32.06,1.61,14.95,1.22,10.81
13330,34.89,23.72,1.47,9.82,0.9,8.51
18820,37.59,27.35,1.37,18.98,1.47,6.46
18790,36.89,30.59,1.21,8.41,0.91,11.42
167A0,29.38,25.58,1.15,14.97,0.82,0.0
13320,28.64,25.38,1.13,15.11,1.42,10.66
18880,35.29,34.29,1.03,11.2,0.99,8.55
18870,24.08,26.36,0.91,22.69,0.71,6.48
17800,21.7,24.05,0.9,8.0,2.04,10.43
13010,20.39,24.73,0.82,8.5,0.79,0.0
13790,12.54,15.26,0.82,10.86,0.96,10.71
13770,17.03,22.4,0.76,15.79,1.03,6.31
17660,18.76,25.84,0.73,11.24,1.34,12.03
14330,21.28,35.0,0.61,18.85,1.75,12.05
14140,10.86,18.63,0.58,19.11,2.64,13.87
18200,14.33,24.68,0.58,12.32,1.21,0.0
14290,14.9,30.35,0.49,11.79,1.94,17.09
17860,11.0,23.54,0.47,13.28,0.9,6.34
17260,6.71,16.27,0.41,20.87,1.56,8.03
16630,8.74,43.42,0.2,16.41,1.3,8.87
14190,5.33,28.84,0.18,42.61,3.99,10.21
13750,-0.37,16.97,-0.02,50.19,2.9,10.08
18730,-1.22,24.56,-0.05,59.57,0.61,0.0
18780,-12.66,18.41,-0.69,12.39,2.38,19.74
17730,-82.29,80.98,-1.02,13.53,1.32,13.24
